,Variable,Importance,Participant,nlp
K23502,StressLength,0.012944141,K23502,Text feature
K23548,StressLength,0.013024464,K23548,Text feature
KTGF553,StressLength,0.013568642,KTGF553,Text feature
KTGF153,StressLength,0.015625543,KTGF153,Text feature
KTGF129,StressLength,0.020241783,KTGF129,Text feature
K23540,StressLength,0.020583472,K23540,Text feature
K23142,StressLength,0.023332693,K23142,Text feature
KTGF561,StressLength,0.023885553,KTGF561,Text feature
K23101,StressLength,0.024031126,K23101,Text feature
K23125,StressLength,0.026251984,K23125,Text feature
K23508,StressLength,0.027913314,K23508,Text feature
KTGF156,StressLength,0.030682094,KTGF156,Text feature
KTFG534,StressLength,0.031375247,KTFG534,Text feature
KTGF545,StressLength,0.031944655,KTGF545,Text feature
K23109,StressLength,0.035252028,K23109,Text feature
KTGF556,StressLength,0.039847819,KTGF556,Text feature
KTGF540,StressLength,0.041758238,KTGF540,Text feature
K23153,StressLength,0.04228363,K23153,Text feature
K23510,StressLength,0.061480615,K23510,Text feature
KTGF557,StressLength,0.063569933,KTGF557,Text feature
K23126,StressLength,0.073381179,K23126,Text feature
K23131,StressLength,0.098974065,K23131,Text feature
K23509,StressLength,0.101692202,K23509,Text feature
K23134,StressLength,0.11558282,K23134,Text feature
K23552,StressLength,0.132866463,K23552,Text feature
K23532,StressLength,0.361645133,K23532,Text feature
KTGF544,StressLength,0.513178721,KTGF544,Text feature
K23115,Space,0,K23115,LIWC
K23122,Space,0,K23122,LIWC
K23134,Space,0,K23134,LIWC
K23508,Space,0,K23508,LIWC
K23532,Space,0,K23532,LIWC
K23536,Space,0,K23536,LIWC
K23552,Space,0,K23552,LIWC
K23556,Space,0,K23556,LIWC
K23557,Space,0,K23557,LIWC
KTGF127,Space,0,KTGF127,LIWC
KTGF138,Space,0,KTGF138,LIWC
KTGF527,Space,0,KTGF527,LIWC
KTGF549,Space,0,KTGF549,LIWC
KTGF570,Space,0,KTGF570,LIWC
K23150,Space,1.57E-05,K23150,LIWC
KTGF157,Space,3.07E-05,KTGF157,LIWC
K23148,Space,4.89E-05,K23148,LIWC
K23133,Space,0.00010032,K23133,LIWC
K23541,Space,0.000108826,K23541,LIWC
K23156,Space,0.000139818,K23156,LIWC
K23521,Space,0.000143822,K23521,LIWC
K23153,Space,0.000201059,K23153,LIWC
KTGF528,Space,0.000206631,KTGF528,LIWC
KTGF565,Space,0.00023623,KTGF565,LIWC
K23128,Space,0.000249492,K23128,LIWC
K23126,Space,0.000259962,K23126,LIWC
K23565,Space,0.000293836,K23565,LIWC
KTGF143,Space,0.000324862,KTGF143,LIWC
KTGF125,Space,0.000412136,KTGF125,LIWC
KTGF146,Space,0.000444758,KTGF146,LIWC
KTGF561,Space,0.000537736,KTGF561,LIWC
K23131,Space,0.000603207,K23131,LIWC
KTGF550,Space,0.000682856,KTGF550,LIWC
K23129,Space,0.000872226,K23129,LIWC
K23101,Space,0.000915048,K23101,LIWC
KTGF158,Space,0.000921774,KTGF158,LIWC
KTGF556,Space,0.001008142,KTGF556,LIWC
KTGF136,Space,0.001015993,KTGF136,LIWC
K23136,Space,0.00102416,K23136,LIWC
K23529,Space,0.001152007,K23529,LIWC
KTGF544,Space,0.001202491,KTGF544,LIWC
KTGF120,Space,0.001229501,KTGF120,LIWC
KTGF118,Space,0.001252066,KTGF118,LIWC
K23509,Space,0.001406091,K23509,LIWC
K23104,Space,0.001421506,K23104,LIWC
K23533,Space,0.00146014,K23533,LIWC
K23145,Space,0.001564012,K23145,LIWC
K23121,Space,0.001675567,K23121,LIWC
KTGF142,Space,0.001716772,KTGF142,LIWC
K23130,Space,0.001761856,K23130,LIWC
KTGF130,Space,0.001779437,KTGF130,LIWC
KTGF129,Space,0.001815366,KTGF129,LIWC
KTGF122,Space,0.001866526,KTGF122,LIWC
KTGF124,Space,0.001876931,KTGF124,LIWC
KTGF154,Space,0.001909126,KTGF154,LIWC
K23548,Space,0.001921847,K23548,LIWC
K23143,Space,0.001996642,K23143,LIWC
K23144,Space,0.002008735,K23144,LIWC
K23559,Space,0.002096101,K23559,LIWC
K23109,Space,0.002207113,K23109,LIWC
KTGF126,Space,0.002342243,KTGF126,LIWC
KTGF562,Space,0.00240733,KTGF562,LIWC
KTGF148,Space,0.002534382,KTGF148,LIWC
K23503,Space,0.002593872,K23503,LIWC
KTGF557,Space,0.002618833,KTGF557,LIWC
K23106,Space,0.002896763,K23106,LIWC
KTGF572,Space,0.002974971,KTGF572,LIWC
KTGF533,Space,0.003223622,KTGF533,LIWC
K23147,Space,0.003364748,K23147,LIWC
K23120,Space,0.003869826,K23120,LIWC
K23107,Space,0.003886946,K23107,LIWC
KTFG534,Space,0.004034727,KTFG534,LIWC
K23537,Space,0.004149255,K23537,LIWC
K23125,Space,0.004169477,K23125,LIWC
KTGF540,Space,0.004224513,KTGF540,LIWC
K23531,Space,0.004347825,K23531,LIWC
KTGF553,Space,0.004593789,KTGF553,LIWC
KTGF147,Space,0.004788349,KTGF147,LIWC
K23555,Space,0.004965618,K23555,LIWC
K23502,Space,0.005144461,K23502,LIWC
K23117,Space,0.007727419,K23117,LIWC
K23507,Space,0.010036774,K23507,LIWC
K23526,Space,0.012401093,K23526,LIWC
K23510,Space,0.016399421,K23510,LIWC
KTGF545,Space,0.01646482,KTGF545,LIWC
KTGF156,Space,0.017713197,KTGF156,LIWC
KTGF153,Space,0.018835708,KTGF153,LIWC
K23551,Space,0.019078543,K23551,LIWC
K23517,Space,0.021189418,K23517,LIWC
K23121,Social referentsï,0,K23121,LIWC
K23133,Social referentsï,0,K23133,LIWC
K23134,Social referentsï,0,K23134,LIWC
K23136,Social referentsï,0,K23136,LIWC
K23147,Social referentsï,0,K23147,LIWC
K23529,Social referentsï,0,K23529,LIWC
K23531,Social referentsï,0,K23531,LIWC
K23532,Social referentsï,0,K23532,LIWC
K23536,Social referentsï,0,K23536,LIWC
K23551,Social referentsï,0,K23551,LIWC
K23557,Social referentsï,0,K23557,LIWC
K23563,Social referentsï,0,K23563,LIWC
KTGF138,Social referentsï,0,KTGF138,LIWC
KTGF146,Social referentsï,0,KTGF146,LIWC
KTGF158,Social referentsï,0,KTGF158,LIWC
KTGF540,Social referentsï,0,KTGF540,LIWC
KTGF549,Social referentsï,0,KTGF549,LIWC
KTGF556,Social referentsï,0,KTGF556,LIWC
KTGF565,Social referentsï,0,KTGF565,LIWC
KTGF127,Social referentsï,1.22E-05,KTGF127,LIWC
K23101,Social referentsï,1.69E-05,K23101,LIWC
KTGF143,Social referentsï,3.45E-05,KTGF143,LIWC
K23130,Social referentsï,4.00E-05,K23130,LIWC
K23145,Social referentsï,8.04E-05,K23145,LIWC
K23144,Social referentsï,9.72E-05,K23144,LIWC
K23503,Social referentsï,0.000101735,K23503,LIWC
KTGF557,Social referentsï,0.00016981,KTGF557,LIWC
K23109,Social referentsï,0.000187922,K23109,LIWC
K23565,Social referentsï,0.000222301,K23565,LIWC
K23508,Social referentsï,0.000248911,K23508,LIWC
K23509,Social referentsï,0.000251406,K23509,LIWC
K23128,Social referentsï,0.000262333,K23128,LIWC
KTGF125,Social referentsï,0.000287621,KTGF125,LIWC
K23114,Social referentsï,0.000300974,K23114,LIWC
K23125,Social referentsï,0.000318492,K23125,LIWC
K23510,Social referentsï,0.000350621,K23510,LIWC
KTGF148,Social referentsï,0.000354529,KTGF148,LIWC
KTGF120,Social referentsï,0.000414496,KTGF120,LIWC
KTGF124,Social referentsï,0.000432703,KTGF124,LIWC
K23115,Social referentsï,0.000452029,K23115,LIWC
K23153,Social referentsï,0.000507973,K23153,LIWC
KTGF153,Social referentsï,0.000527561,KTGF153,LIWC
KTGF533,Social referentsï,0.000597451,KTGF533,LIWC
KTGF118,Social referentsï,0.000665313,KTGF118,LIWC
KTGF142,Social referentsï,0.000826069,KTGF142,LIWC
KTGF572,Social referentsï,0.000844763,KTGF572,LIWC
K23517,Social referentsï,0.000930123,K23517,LIWC
K23540,Social referentsï,0.000963032,K23540,LIWC
K23129,Social referentsï,0.001029629,K23129,LIWC
KTFG534,Social referentsï,0.001126916,KTFG534,LIWC
KTGF136,Social referentsï,0.001173703,KTGF136,LIWC
K23526,Social referentsï,0.001249533,K23526,LIWC
KTGF156,Social referentsï,0.00130951,KTGF156,LIWC
K23548,Social referentsï,0.001349012,K23548,LIWC
KTGF561,Social referentsï,0.001418382,KTGF561,LIWC
KTGF122,Social referentsï,0.001651938,KTGF122,LIWC
K23117,Social referentsï,0.001713301,K23117,LIWC
K23552,Social referentsï,0.001827867,K23552,LIWC
KTGF130,Social referentsï,0.002172059,KTGF130,LIWC
K23555,Social referentsï,0.002294386,K23555,LIWC
KTGF147,Social referentsï,0.002379502,KTGF147,LIWC
K23541,Social referentsï,0.002398973,K23541,LIWC
KTGF154,Social referentsï,0.00305526,KTGF154,LIWC
K23106,Social referentsï,0.003078252,K23106,LIWC
KTGF528,Social referentsï,0.004116431,KTGF528,LIWC
K23559,Social referentsï,0.004798969,K23559,LIWC
KTGF562,Social referentsï,0.004854174,KTGF562,LIWC
K23521,Social referentsï,0.004936417,K23521,LIWC
K23537,Social referentsï,0.005324554,K23537,LIWC
K23150,Social referentsï,0.005641124,K23150,LIWC
K23148,Social referentsï,0.006137446,K23148,LIWC
K23126,Social referentsï,0.008305226,K23126,LIWC
K23131,Social referentsï,0.00856768,K23131,LIWC
K23142,Social referentsï,0.010298439,K23142,LIWC
KTGF527,Social referentsï,0.010431607,KTGF527,LIWC
K23533,Social referentsï,0.018558537,K23533,LIWC
KTGF544,Social referentsï,0.03014531,KTGF544,LIWC
KTGF550,Social referentsï,0.065731776,KTGF550,LIWC
K23106,Social,0,K23106,LIWC
K23107,Social,0,K23107,LIWC
K23122,Social,0,K23122,LIWC
K23125,Social,0,K23125,LIWC
K23128,Social,0,K23128,LIWC
K23147,Social,0,K23147,LIWC
K23148,Social,0,K23148,LIWC
K23150,Social,0,K23150,LIWC
K23153,Social,0,K23153,LIWC
K23156,Social,0,K23156,LIWC
K23508,Social,0,K23508,LIWC
K23521,Social,0,K23521,LIWC
K23532,Social,0,K23532,LIWC
K23540,Social,0,K23540,LIWC
K23551,Social,0,K23551,LIWC
K23555,Social,0,K23555,LIWC
K23563,Social,0,K23563,LIWC
KTGF120,Social,0,KTGF120,LIWC
KTGF124,Social,0,KTGF124,LIWC
KTGF136,Social,0,KTGF136,LIWC
KTGF138,Social,0,KTGF138,LIWC
KTGF142,Social,0,KTGF142,LIWC
KTGF158,Social,0,KTGF158,LIWC
KTGF527,Social,0,KTGF527,LIWC
KTGF540,Social,0,KTGF540,LIWC
KTGF549,Social,0,KTGF549,LIWC
KTGF556,Social,0,KTGF556,LIWC
KTGF565,Social,0,KTGF565,LIWC
KTGF570,Social,0,KTGF570,LIWC
K23121,Social,7.77E-07,K23121,LIWC
K23145,Social,2.16E-05,K23145,LIWC
K23114,Social,2.28E-05,K23114,LIWC
K23529,Social,6.18E-05,K23529,LIWC
K23115,Social,0.000104964,K23115,LIWC
KTGF153,Social,0.000107432,KTGF153,LIWC
K23129,Social,0.00010771,K23129,LIWC
K23556,Social,0.000117705,K23556,LIWC
K23503,Social,0.000164267,K23503,LIWC
KTGF572,Social,0.000177178,KTGF572,LIWC
K23130,Social,0.000205911,K23130,LIWC
K23136,Social,0.000215458,K23136,LIWC
K23531,Social,0.000237397,K23531,LIWC
K23557,Social,0.000267363,K23557,LIWC
KTGF143,Social,0.000274069,KTGF143,LIWC
K23552,Social,0.00028918,K23552,LIWC
K23548,Social,0.000297752,K23548,LIWC
KTGF129,Social,0.000539915,KTGF129,LIWC
K23133,Social,0.000544433,K23133,LIWC
KTGF118,Social,0.000556146,KTGF118,LIWC
KTGF553,Social,0.000750815,KTGF553,LIWC
KTGF127,Social,0.000896201,KTGF127,LIWC
K23131,Social,0.001013797,K23131,LIWC
KTGF533,Social,0.001099951,KTGF533,LIWC
K23526,Social,0.001165627,K23526,LIWC
K23101,Social,0.001357621,K23101,LIWC
K23117,Social,0.001486979,K23117,LIWC
KTGF154,Social,0.001531157,KTGF154,LIWC
K23541,Social,0.001762296,K23541,LIWC
K23126,Social,0.001880753,K23126,LIWC
KTGF557,Social,0.002129178,KTGF557,LIWC
KTGF561,Social,0.002572875,KTGF561,LIWC
KTGF528,Social,0.002682742,KTGF528,LIWC
KTGF146,Social,0.002997189,KTGF146,LIWC
KTGF545,Social,0.003151817,KTGF545,LIWC
K23536,Social,0.003731298,K23536,LIWC
K23109,Social,0.004118314,K23109,LIWC
KTFG534,Social,0.004124935,KTFG534,LIWC
K23134,Social,0.004466293,K23134,LIWC
K23565,Social,0.004606792,K23565,LIWC
K23507,Social,0.005002152,K23507,LIWC
K23517,Social,0.005127006,K23517,LIWC
KTGF156,Social,0.005276557,KTGF156,LIWC
K23142,Social,0.005839488,K23142,LIWC
KTGF550,Social,0.00594842,KTGF550,LIWC
KTGF130,Social,0.006169639,KTGF130,LIWC
KTGF125,Social,0.006812787,KTGF125,LIWC
KTGF148,Social,0.007487419,KTGF148,LIWC
K23144,Social,0.007602827,K23144,LIWC
K23510,Social,0.008180632,K23510,LIWC
K23537,Social,0.008432069,K23537,LIWC
K23502,Social,0.013952378,K23502,LIWC
K23559,Social,0.015620414,K23559,LIWC
K23509,Social,0.01966163,K23509,LIWC
K23120,Social,0.019686934,K23120,LIWC
KTGF544,Social,0.023267072,KTGF544,LIWC
K23533,Social,0.02493897,K23533,LIWC
KTGF122,Social,0.026496333,KTGF122,LIWC
KTGF147,Social,0.048997947,KTGF147,LIWC
KTGF562,Social,0.118105054,KTGF562,LIWC
K23125,Socbehav,0,K23125,LIWC
K23130,Socbehav,0,K23130,LIWC
K23531,Socbehav,0,K23531,LIWC
K23532,Socbehav,0,K23532,LIWC
K23541,Socbehav,0,K23541,LIWC
KTGF124,Socbehav,0,KTGF124,LIWC
KTGF138,Socbehav,0,KTGF138,LIWC
KTGF142,Socbehav,0,KTGF142,LIWC
KTGF528,Socbehav,0,KTGF528,LIWC
KTGF533,Socbehav,0,KTGF533,LIWC
KTGF540,Socbehav,0,KTGF540,LIWC
KTGF565,Socbehav,0,KTGF565,LIWC
K23128,Socbehav,2.67E-06,K23128,LIWC
KTGF549,Socbehav,3.52E-06,KTGF549,LIWC
KTGF553,Socbehav,7.11E-06,KTGF553,LIWC
K23510,Socbehav,2.69E-05,K23510,LIWC
KTGF125,Socbehav,2.89E-05,KTGF125,LIWC
K23557,Socbehav,3.34E-05,K23557,LIWC
K23521,Socbehav,3.76E-05,K23521,LIWC
K23148,Socbehav,4.88E-05,K23148,LIWC
K23115,Socbehav,5.06E-05,K23115,LIWC
KTGF120,Socbehav,5.21E-05,KTGF120,LIWC
KTGF156,Socbehav,5.24E-05,KTGF156,LIWC
K23529,Socbehav,5.80E-05,K23529,LIWC
KTGF572,Socbehav,6.53E-05,KTGF572,LIWC
K23503,Socbehav,6.95E-05,K23503,LIWC
K23129,Socbehav,7.20E-05,K23129,LIWC
K23153,Socbehav,0.000145666,K23153,LIWC
K23147,Socbehav,0.000188963,K23147,LIWC
K23565,Socbehav,0.000215751,K23565,LIWC
K23145,Socbehav,0.00022567,K23145,LIWC
K23552,Socbehav,0.000235288,K23552,LIWC
K23555,Socbehav,0.000302277,K23555,LIWC
K23502,Socbehav,0.000368102,K23502,LIWC
KTGF158,Socbehav,0.000370727,KTGF158,LIWC
K23121,Socbehav,0.000443768,K23121,LIWC
K23136,Socbehav,0.000584201,K23136,LIWC
K23536,Socbehav,0.000593644,K23536,LIWC
K23508,Socbehav,0.000661493,K23508,LIWC
K23150,Socbehav,0.000666325,K23150,LIWC
KTGF570,Socbehav,0.000703534,KTGF570,LIWC
KTGF118,Socbehav,0.00073321,KTGF118,LIWC
KTGF544,Socbehav,0.000879401,KTGF544,LIWC
K23106,Socbehav,0.000941288,K23106,LIWC
KTGF556,Socbehav,0.000945179,KTGF556,LIWC
KTGF527,Socbehav,0.000992329,KTGF527,LIWC
K23142,Socbehav,0.001228762,K23142,LIWC
K23101,Socbehav,0.001297353,K23101,LIWC
K23537,Socbehav,0.001378836,K23537,LIWC
KTGF136,Socbehav,0.001645919,KTGF136,LIWC
K23133,Socbehav,0.001691948,K23133,LIWC
K23559,Socbehav,0.001830121,K23559,LIWC
KTGF143,Socbehav,0.001918203,KTGF143,LIWC
K23548,Socbehav,0.001986171,K23548,LIWC
K23144,Socbehav,0.002596829,K23144,LIWC
K23556,Socbehav,0.003098626,K23556,LIWC
KTGF147,Socbehav,0.003369865,KTGF147,LIWC
K23134,Socbehav,0.003589268,K23134,LIWC
KTGF153,Socbehav,0.003821235,KTGF153,LIWC
KTGF146,Socbehav,0.003965741,KTGF146,LIWC
KTGF550,Socbehav,0.005095092,KTGF550,LIWC
KTGF154,Socbehav,0.005554049,KTGF154,LIWC
K23526,Socbehav,0.005777875,K23526,LIWC
KTGF561,Socbehav,0.006678617,KTGF561,LIWC
K23509,Socbehav,0.006696065,K23509,LIWC
K23517,Socbehav,0.00829093,K23517,LIWC
KTGF122,Socbehav,0.008523812,KTGF122,LIWC
K23131,Socbehav,0.010176861,K23131,LIWC
KTGF148,Socbehav,0.011643408,KTGF148,LIWC
KTGF562,Socbehav,0.015358545,KTGF562,LIWC
K23540,Socbehav,0.016557087,K23540,LIWC
K23533,Socbehav,0.03183283,K23533,LIWC
K23551,Socbehav,0.050601787,K23551,LIWC
KTGF138,Sad GPT,0,KTGF138,GPT
KTGF146,Sad GPT,0,KTGF146,GPT
KTGF533,Sad GPT,0,KTGF533,GPT
K23107,Sad GPT,1.62E-07,K23107,GPT
KTGF528,Sad GPT,9.34E-07,KTGF528,GPT
K23101,Sad GPT,1.33E-06,K23101,GPT
K23104,Sad GPT,1.69E-06,K23104,GPT
K23503,Sad GPT,2.96E-06,K23503,GPT
K23144,Sad GPT,3.67E-06,K23144,GPT
KTGF124,Sad GPT,3.79E-06,KTGF124,GPT
K23133,Sad GPT,7.49E-06,K23133,GPT
K23122,Sad GPT,8.70E-06,K23122,GPT
KTGF553,Sad GPT,9.11E-06,KTGF553,GPT
KTGF550,Sad GPT,1.07E-05,KTGF550,GPT
KTGF147,Sad GPT,1.20E-05,KTGF147,GPT
K23537,Sad GPT,1.60E-05,K23537,GPT
K23502,Sad GPT,2.06E-05,K23502,GPT
K23541,Sad GPT,2.09E-05,K23541,GPT
K23526,Sad GPT,2.20E-05,K23526,GPT
KTGF154,Sad GPT,2.39E-05,KTGF154,GPT
K23125,Sad GPT,2.71E-05,K23125,GPT
K23139,Sad GPT,2.85E-05,K23139,GPT
KTGF556,Sad GPT,3.00E-05,KTGF556,GPT
KTGF120,Sad GPT,3.09E-05,KTGF120,GPT
KTGF148,Sad GPT,3.79E-05,KTGF148,GPT
K23128,Sad GPT,3.84E-05,K23128,GPT
K23540,Sad GPT,4.60E-05,K23540,GPT
K23114,Sad GPT,5.39E-05,K23114,GPT
K23130,Sad GPT,5.55E-05,K23130,GPT
K23143,Sad GPT,5.77E-05,K23143,GPT
K23531,Sad GPT,5.92E-05,K23531,GPT
KTGF125,Sad GPT,5.96E-05,KTGF125,GPT
K23136,Sad GPT,6.03E-05,K23136,GPT
KTGF540,Sad GPT,6.39E-05,KTGF540,GPT
KTGF561,Sad GPT,7.73E-05,KTGF561,GPT
KTGF572,Sad GPT,8.68E-05,KTGF572,GPT
KTGF118,Sad GPT,9.45E-05,KTGF118,GPT
K23536,Sad GPT,9.73E-05,K23536,GPT
K23508,Sad GPT,0.000100222,K23508,GPT
KTGF136,Sad GPT,0.000105523,KTGF136,GPT
KTGF562,Sad GPT,0.000111461,KTGF562,GPT
K23532,Sad GPT,0.000112965,K23532,GPT
KTFG534,Sad GPT,0.000131686,KTFG534,GPT
K23563,Sad GPT,0.000132638,K23563,GPT
K23120,Sad GPT,0.000133455,K23120,GPT
K23126,Sad GPT,0.000143861,K23126,GPT
KTGF545,Sad GPT,0.000162468,KTGF545,GPT
K23106,Sad GPT,0.000194834,K23106,GPT
K23142,Sad GPT,0.000197751,K23142,GPT
K23121,Sad GPT,0.000200631,K23121,GPT
K23148,Sad GPT,0.000205935,K23148,GPT
K23115,Sad GPT,0.000212194,K23115,GPT
K23555,Sad GPT,0.000216719,K23555,GPT
KTGF570,Sad GPT,0.000223334,KTGF570,GPT
K23552,Sad GPT,0.000238948,K23552,GPT
KTGF156,Sad GPT,0.000254338,KTGF156,GPT
K23129,Sad GPT,0.000262717,K23129,GPT
K23507,Sad GPT,0.00026676,K23507,GPT
KTGF126,Sad GPT,0.000272248,KTGF126,GPT
K23147,Sad GPT,0.000274051,K23147,GPT
KTGF143,Sad GPT,0.000297682,KTGF143,GPT
KTGF549,Sad GPT,0.000354974,KTGF549,GPT
KTGF565,Sad GPT,0.000366921,KTGF565,GPT
K23559,Sad GPT,0.00040283,K23559,GPT
K23150,Sad GPT,0.000414042,K23150,GPT
K23510,Sad GPT,0.000448019,K23510,GPT
K23109,Sad GPT,0.000451575,K23109,GPT
K23131,Sad GPT,0.000508926,K23131,GPT
K23529,Sad GPT,0.000526383,K23529,GPT
KTGF127,Sad GPT,0.000532321,KTGF127,GPT
KTGF158,Sad GPT,0.000540555,KTGF158,GPT
KTGF544,Sad GPT,0.000600281,KTGF544,GPT
K23565,Sad GPT,0.000638306,K23565,GPT
KTGF122,Sad GPT,0.000697984,KTGF122,GPT
K23134,Sad GPT,0.000778549,K23134,GPT
K23509,Sad GPT,0.000793861,K23509,GPT
K23551,Sad GPT,0.000844031,K23551,GPT
K23117,Sad GPT,0.000860358,K23117,GPT
K23557,Sad GPT,0.000927565,K23557,GPT
K23145,Sad GPT,0.00106374,K23145,GPT
K23521,Sad GPT,0.001072327,K23521,GPT
K23156,Sad GPT,0.001146987,K23156,GPT
KTGF157,Sad GPT,0.001166483,KTGF157,GPT
KTGF130,Sad GPT,0.001182361,KTGF130,GPT
KTGF557,Sad GPT,0.001509459,KTGF557,GPT
K23153,Sad GPT,0.001586231,K23153,GPT
KTGF129,Sad GPT,0.001636651,KTGF129,GPT
K23533,Sad GPT,0.00170597,K23533,GPT
KTGF153,Sad GPT,0.001720208,KTGF153,GPT
KTGF527,Sad GPT,0.00193509,KTGF527,GPT
K23517,Sad GPT,0.002452898,K23517,GPT
K23556,Sad GPT,0.002923619,K23556,GPT
K23548,Sad GPT,0.002932681,K23548,GPT
KTGF142,Sad GPT,0.004774822,KTGF142,GPT
K23122,Quantity,0,K23122,LIWC
K23130,Quantity,0,K23130,LIWC
K23134,Quantity,0,K23134,LIWC
K23147,Quantity,0,K23147,LIWC
K23521,Quantity,0,K23521,LIWC
K23532,Quantity,0,K23532,LIWC
K23540,Quantity,0,K23540,LIWC
KTGF540,Quantity,0,KTGF540,LIWC
KTGF549,Quantity,1.59E-05,KTGF549,LIWC
KTGF124,Quantity,2.61E-05,KTGF124,LIWC
K23557,Quantity,3.20E-05,K23557,LIWC
KTFG534,Quantity,4.23E-05,KTFG534,LIWC
KTGF561,Quantity,5.67E-05,KTGF561,LIWC
K23555,Quantity,5.74E-05,K23555,LIWC
K23121,Quantity,6.33E-05,K23121,LIWC
KTGF118,Quantity,6.44E-05,KTGF118,LIWC
KTGF127,Quantity,7.42E-05,KTGF127,LIWC
K23133,Quantity,8.96E-05,K23133,LIWC
K23556,Quantity,9.18E-05,K23556,LIWC
KTGF527,Quantity,0.000105892,KTGF527,LIWC
K23503,Quantity,0.000178988,K23503,LIWC
KTGF143,Quantity,0.000180303,KTGF143,LIWC
KTGF556,Quantity,0.000184893,KTGF556,LIWC
K23529,Quantity,0.000200301,K23529,LIWC
K23148,Quantity,0.000249278,K23148,LIWC
KTGF565,Quantity,0.000270679,KTGF565,GPT
KTGF148,Quantity,0.000294872,KTGF148,LIWC
K23125,Quantity,0.000300431,K23125,LIWC
KTGF156,Quantity,0.000307906,KTGF156,LIWC
K23548,Quantity,0.000312561,K23548,LIWC
KTGF153,Quantity,0.000333762,KTGF153,LIWC
KTGF154,Quantity,0.000355395,KTGF154,LIWC
K23563,Quantity,0.000405915,K23563,LIWC
KTGF142,Quantity,0.000510115,KTGF142,LIWC
K23143,Quantity,0.000567682,K23143,LIWC
K23509,Quantity,0.000599599,K23509,LIWC
KTGF138,Quantity,0.000645871,KTGF138,LIWC
K23129,Quantity,0.000695981,K23129,LIWC
KTGF120,Quantity,0.000834473,KTGF120,LIWC
KTGF157,Quantity,0.000875849,KTGF157,LIWC
KTGF528,Quantity,0.000992831,KTGF528,LIWC
K23145,Quantity,0.001129782,K23145,LIWC
K23537,Quantity,0.001255792,K23537,LIWC
K23552,Quantity,0.001476974,K23552,LIWC
KTGF122,Quantity,0.001498755,KTGF122,LIWC
K23114,Quantity,0.00180195,K23114,LIWC
K23115,Quantity,0.001843904,K23115,LIWC
K23144,Quantity,0.002072628,K23144,LIWC
KTGF544,Quantity,0.002103516,KTGF544,LIWC
K23126,Quantity,0.002274251,K23126,LIWC
KTGF158,Quantity,0.002445603,KTGF158,LIWC
KTGF533,Quantity,0.002481293,KTGF533,LIWC
KTGF125,Quantity,0.002976353,KTGF125,LIWC
KTGF545,Quantity,0.002990574,KTGF545,LIWC
K23510,Quantity,0.003045951,K23510,LIWC
K23565,Quantity,0.003346788,K23565,LIWC
K23106,Quantity,0.003852681,K23106,LIWC
K23101,Quantity,0.004350749,K23101,LIWC
K23128,Quantity,0.005433915,K23128,LIWC
K23104,Quantity,0.009110857,K23104,LIWC
KTGF557,Quantity,0.018627339,KTGF557,LIWC
K23136,Quantity,0.024486622,K23136,LIWC
K23517,Quantity,0.078150165,K23517,LIWC
K23142,Quantity,0.250398129,K23142,LIWC
K23104,Pronoun,0,K23104,LIWC
K23114,Pronoun,0,K23114,LIWC
K23122,Pronoun,0,K23122,LIWC
K23129,Pronoun,0,K23129,LIWC
K23130,Pronoun,0,K23130,LIWC
K23134,Pronoun,0,K23134,LIWC
K23136,Pronoun,0,K23136,LIWC
K23144,Pronoun,0,K23144,LIWC
K23145,Pronoun,0,K23145,LIWC
K23148,Pronoun,0,K23148,LIWC
K23150,Pronoun,0,K23150,LIWC
K23153,Pronoun,0,K23153,LIWC
K23503,Pronoun,0,K23503,LIWC
K23531,Pronoun,0,K23531,LIWC
K23532,Pronoun,0,K23532,LIWC
K23540,Pronoun,0,K23540,LIWC
K23552,Pronoun,0,K23552,LIWC
K23555,Pronoun,0,K23555,LIWC
K23563,Pronoun,0,K23563,LIWC
KTGF138,Pronoun,0,KTGF138,LIWC
KTGF142,Pronoun,0,KTGF142,LIWC
KTGF549,Pronoun,0,KTGF549,LIWC
KTGF565,Pronoun,0,KTGF565,LIWC
KTGF570,Pronoun,0,KTGF570,LIWC
KTGF120,Pronoun,5.64E-09,KTGF120,LIWC
K23521,Pronoun,1.80E-06,K23521,LIWC
K23107,Pronoun,5.77E-06,K23107,LIWC
KTGF533,Pronoun,6.06E-06,KTGF533,LIWC
K23551,Pronoun,8.48E-06,K23551,LIWC
K23115,Pronoun,8.82E-06,K23115,LIWC
K23106,Pronoun,1.16E-05,K23106,LIWC
K23536,Pronoun,3.39E-05,K23536,LIWC
KTGF153,Pronoun,4.24E-05,KTGF153,LIWC
KTGF143,Pronoun,4.30E-05,KTGF143,LIWC
KTGF156,Pronoun,5.17E-05,KTGF156,LIWC
KTGF125,Pronoun,6.87E-05,KTGF125,LIWC
K23147,Pronoun,7.03E-05,K23147,LIWC
KTGF556,Pronoun,7.72E-05,KTGF556,LIWC
K23548,Pronoun,8.18E-05,K23548,LIWC
K23502,Pronoun,8.46E-05,K23502,LIWC
KTGF540,Pronoun,0.000114637,KTGF540,LIWC
K23507,Pronoun,0.000133482,K23507,LIWC
K23128,Pronoun,0.00014696,K23128,LIWC
K23557,Pronoun,0.000205319,K23557,LIWC
K23120,Pronoun,0.00036283,K23120,LIWC
