,Variable,Importance,Participant,Time
K23101,Achieve,0.013435473,K23101,LIWC
K23104,Achieve,0.000920807,K23104,LIWC
K23106,Achieve,0,K23106,LIWC
K23107,Achieve,0.003564149,K23107,LIWC
K23115,Achieve,0.001353138,K23115,LIWC
K23122,Achieve,0,K23122,LIWC
K23125,Achieve,0.000297305,K23125,LIWC
K23126,Achieve,0.039708448,K23126,LIWC
K23128,Achieve,0.002473034,K23128,LIWC
K23130,Achieve,0,K23130,LIWC
K23131,Achieve,0.007803772,K23131,LIWC
K23133,Achieve,0.003490865,K23133,LIWC
K23134,Achieve,0.000168679,K23134,LIWC
K23136,Achieve,0.003555243,K23136,LIWC
K23142,Achieve,0.030589187,K23142,LIWC
K23143,Achieve,0.00574032,K23143,LIWC
K23145,Achieve,0,K23145,LIWC
K23147,Achieve,0.001383417,K23147,LIWC
K23148,Achieve,3.28E-05,K23148,LIWC
K23153,Achieve,0,K23153,LIWC
K23156,Achieve,0.002042181,K23156,LIWC
K23502,Achieve,0.006880118,K23502,LIWC
K23503,Achieve,0.000152314,K23503,LIWC
K23508,Achieve,0.002296623,K23508,LIWC
K23509,Achieve,0.002473744,K23509,LIWC
K23517,Achieve,0.045566982,K23517,LIWC
K23529,Achieve,0.000170246,K23529,LIWC
K23531,Achieve,0,K23531,LIWC
K23532,Achieve,0.003062461,K23532,LIWC
K23536,Achieve,0.001483865,K23536,LIWC
K23548,Achieve,0.00123023,K23548,LIWC
K23555,Achieve,0.004270121,K23555,LIWC
K23557,Achieve,0.00324282,K23557,LIWC
K23559,Achieve,0.003177748,K23559,LIWC
K23565,Achieve,0,K23565,LIWC
KTFG534,Achieve,0.012528149,KTFG534,LIWC
KTGF120,Achieve,7.46E-05,KTGF120,LIWC
KTGF124,Achieve,0.000727442,KTGF124,LIWC
KTGF125,Achieve,0.000906974,KTGF125,LIWC
KTGF129,Achieve,0.035043555,KTGF129,LIWC
KTGF130,Achieve,0.003453028,KTGF130,LIWC
KTGF136,Achieve,8.40E-05,KTGF136,LIWC
KTGF142,Achieve,0,KTGF142,LIWC
KTGF143,Achieve,4.35E-05,KTGF143,LIWC
KTGF148,Achieve,0.001945141,KTGF148,LIWC
KTGF153,Achieve,0.004948023,KTGF153,LIWC
KTGF154,Achieve,0.000449154,KTGF154,LIWC
KTGF156,Achieve,0.000569475,KTGF156,LIWC
KTGF158,Achieve,0.000504929,KTGF158,LIWC
KTGF527,Achieve,0.000875893,KTGF527,LIWC
KTGF528,Achieve,0,KTGF528,LIWC
KTGF533,Achieve,0.011089027,KTGF533,LIWC
KTGF540,Achieve,0.00267737,KTGF540,LIWC
KTGF544,Achieve,8.54E-05,KTGF544,LIWC
KTGF545,Achieve,0.02207439,KTGF545,LIWC
KTGF549,Achieve,1.18E-05,KTGF549,LIWC
KTGF550,Achieve,0.032269141,KTGF550,LIWC
KTGF556,Achieve,4.34E-05,KTGF556,LIWC
KTGF557,Achieve,5.88E-05,KTGF557,LIWC
KTGF561,Achieve,0.000767857,KTGF561,LIWC
KTGF565,Achieve,0.00048692,KTGF565,LIWC
KTGF570,Achieve,0,KTGF570,LIWC
K23101,Acquire,0.000302373,K23101,LIWC
K23106,Acquire,0,K23106,LIWC
K23107,Acquire,0.005277199,K23107,LIWC
K23109,Acquire,0.000685768,K23109,LIWC
K23115,Acquire,0.00262726,K23115,LIWC
K23117,Acquire,0.004685569,K23117,LIWC
K23120,Acquire,0.000918849,K23120,LIWC
K23122,Acquire,0.00298501,K23122,LIWC
K23125,Acquire,0.004108526,K23125,LIWC
K23126,Acquire,0.012627698,K23126,LIWC
K23128,Acquire,0.004063812,K23128,LIWC
K23129,Acquire,0.001396522,K23129,LIWC
K23130,Acquire,1.53E-05,K23130,LIWC
K23131,Acquire,0.000402451,K23131,LIWC
K23133,Acquire,0.001575269,K23133,LIWC
K23134,Acquire,0.000174454,K23134,LIWC
K23136,Acquire,0,K23136,LIWC
K23143,Acquire,0.000189536,K23143,LIWC
K23145,Acquire,0.001235344,K23145,LIWC
K23147,Acquire,0.001312856,K23147,LIWC
K23148,Acquire,0.000535745,K23148,LIWC
K23150,Acquire,0.002578102,K23150,LIWC
K23153,Acquire,0.005124166,K23153,LIWC
K23156,Acquire,0.001024442,K23156,LIWC
K23503,Acquire,0.00267901,K23503,LIWC
K23507,Acquire,0.003327343,K23507,LIWC
K23508,Acquire,0,K23508,LIWC
K23526,Acquire,0.000271973,K23526,LIWC
K23529,Acquire,0.000662737,K23529,LIWC
K23531,Acquire,0.001460494,K23531,LIWC
K23532,Acquire,0,K23532,LIWC
K23533,Acquire,0.004287686,K23533,LIWC
K23536,Acquire,0.012500747,K23536,LIWC
K23537,Acquire,0.000120399,K23537,LIWC
K23548,Acquire,4.67E-05,K23548,LIWC
K23552,Acquire,0,K23552,LIWC
K23555,Acquire,0.000981777,K23555,LIWC
K23556,Acquire,0.000320669,K23556,LIWC
K23565,Acquire,0.0043341,K23565,LIWC
KTGF118,Acquire,0.000127581,KTGF118,LIWC
KTGF120,Acquire,0.000216226,KTGF120,LIWC
KTGF122,Acquire,0.000490417,KTGF122,LIWC
KTGF124,Acquire,4.95E-05,KTGF124,LIWC
KTGF125,Acquire,0.002844058,KTGF125,LIWC
KTGF129,Acquire,0.003332553,KTGF129,LIWC
KTGF130,Acquire,0.02330466,KTGF130,LIWC
KTGF142,Acquire,0.003952102,KTGF142,LIWC
KTGF143,Acquire,9.15E-05,KTGF143,LIWC
KTGF147,Acquire,0.003528788,KTGF147,LIWC
KTGF156,Acquire,0.000770589,KTGF156,LIWC
KTGF158,Acquire,0.00045383,KTGF158,LIWC
KTGF527,Acquire,0.002398664,KTGF527,LIWC
KTGF528,Acquire,0.000242981,KTGF528,LIWC
KTGF533,Acquire,0,KTGF533,LIWC
KTGF540,Acquire,0.007906738,KTGF540,LIWC
KTGF544,Acquire,0.005080063,KTGF544,LIWC
KTGF545,Acquire,0.000530523,KTGF545,LIWC
KTGF549,Acquire,0,KTGF549,LIWC
KTGF550,Acquire,0.00031765,KTGF550,LIWC
KTGF556,Acquire,1.55E-05,KTGF556,LIWC
KTGF557,Acquire,0.021753798,KTGF557,LIWC
KTGF561,Acquire,0.00450005,KTGF561,LIWC
KTGF562,Acquire,0.012490047,KTGF562,LIWC
KTGF565,Acquire,0.00751279,KTGF565,LIWC
KTGF570,Acquire,4.41E-06,KTGF570,LIWC
K23101,Adjectives,0.001692806,K23101,LIWC
K23106,Adjectives,2.72E-08,K23106,LIWC
K23107,Adjectives,0.006450555,K23107,LIWC
K23109,Adjectives,2.94E-05,K23109,LIWC
K23114,Adjectives,0.001973447,K23114,LIWC
K23115,Adjectives,0.000376331,K23115,LIWC
K23117,Adjectives,0.015768025,K23117,LIWC
K23121,Adjectives,0.006665323,K23121,LIWC
K23122,Adjectives,0.001598351,K23122,LIWC
K23125,Adjectives,0.010471129,K23125,LIWC
K23126,Adjectives,0.000898114,K23126,LIWC
K23128,Adjectives,0.003613158,K23128,LIWC
K23129,Adjectives,0.004715782,K23129,LIWC
K23130,Adjectives,9.42E-05,K23130,LIWC
K23131,Adjectives,0.000104053,K23131,LIWC
K23133,Adjectives,0.016209053,K23133,LIWC
K23134,Adjectives,0,K23134,LIWC
K23136,Adjectives,0.000818129,K23136,LIWC
K23143,Adjectives,0.001889353,K23143,LIWC
K23144,Adjectives,0.001964348,K23144,LIWC
K23145,Adjectives,0,K23145,LIWC
K23147,Adjectives,0,K23147,LIWC
K23148,Adjectives,0.00059679,K23148,LIWC
K23150,Adjectives,0.000168847,K23150,LIWC
K23153,Adjectives,0.011944459,K23153,LIWC
K23156,Adjectives,0.000288077,K23156,LIWC
K23502,Adjectives,0.032992748,K23502,LIWC
K23503,Adjectives,0.004627088,K23503,LIWC
K23507,Adjectives,0.000297441,K23507,LIWC
K23508,Adjectives,0.003385625,K23508,LIWC
K23509,Adjectives,0.000221691,K23509,LIWC
K23510,Adjectives,0.000779191,K23510,LIWC
K23517,Adjectives,0.0085543,K23517,LIWC
K23521,Adjectives,0,K23521,LIWC
K23526,Adjectives,0.003022336,K23526,LIWC
K23529,Adjectives,0.004017751,K23529,LIWC
K23531,Adjectives,0,K23531,LIWC
K23532,Adjectives,0,K23532,LIWC
K23533,Adjectives,0.004009376,K23533,LIWC
K23536,Adjectives,0.00624338,K23536,LIWC
K23537,Adjectives,0.005808815,K23537,LIWC
K23540,Adjectives,0.001212453,K23540,LIWC
K23541,Adjectives,0,K23541,LIWC
K23548,Adjectives,0.001313802,K23548,LIWC
K23552,Adjectives,0.00276113,K23552,LIWC
K23555,Adjectives,0.001844161,K23555,LIWC
K23556,Adjectives,0.002018103,K23556,LIWC
K23557,Adjectives,0.000361417,K23557,LIWC
K23559,Adjectives,0.004785692,K23559,LIWC
K23563,Adjectives,0.000531629,K23563,LIWC
K23565,Adjectives,0.002243321,K23565,LIWC
KTFG534,Adjectives,0.000535359,KTFG534,LIWC
KTGF118,Adjectives,0.005657407,KTGF118,LIWC
KTGF120,Adjectives,0.000893301,KTGF120,LIWC
KTGF122,Adjectives,0.013332291,KTGF122,LIWC
KTGF124,Adjectives,0.003018239,KTGF124,LIWC
KTGF125,Adjectives,0.000277873,KTGF125,LIWC
KTGF126,Adjectives,0.000626463,KTGF126,LIWC
KTGF130,Adjectives,0.001689518,KTGF130,LIWC
KTGF142,Adjectives,0,KTGF142,LIWC
KTGF143,Adjectives,0.000766157,KTGF143,LIWC
KTGF146,Adjectives,0.004736578,KTGF146,LIWC
KTGF147,Adjectives,0.006357242,KTGF147,LIWC
KTGF148,Adjectives,0.007679385,KTGF148,LIWC
KTGF154,Adjectives,0.000454241,KTGF154,LIWC
KTGF156,Adjectives,4.94E-06,KTGF156,LIWC
KTGF157,Adjectives,3.00E-05,KTGF157,LIWC
KTGF158,Adjectives,0.00722272,KTGF158,LIWC
KTGF527,Adjectives,0.01453732,KTGF527,LIWC
KTGF528,Adjectives,0.014505867,KTGF528,LIWC
KTGF533,Adjectives,0.009366994,KTGF533,LIWC
KTGF540,Adjectives,0.0008486,KTGF540,LIWC
KTGF544,Adjectives,0.01784427,KTGF544,LIWC
KTGF545,Adjectives,0.000345513,KTGF545,LIWC
KTGF549,Adjectives,0.000107308,KTGF549,LIWC
KTGF550,Adjectives,0.000213177,KTGF550,LIWC
KTGF553,Adjectives,0.001247912,KTGF553,LIWC
KTGF556,Adjectives,0.00830701,KTGF556,LIWC
KTGF557,Adjectives,0.002360069,KTGF557,LIWC
KTGF561,Adjectives,0.000531188,KTGF561,LIWC
KTGF562,Adjectives,0.010083542,KTGF562,LIWC
KTGF565,Adjectives,0.002990251,KTGF565,LIWC
KTGF570,Adjectives,0.000726894,KTGF570,LIWC
KTGF572,Adjectives,0.000375519,KTGF572,LIWC
K23101,Adverbs,0.000888351,K23101,LIWC
K23106,Adverbs,3.90E-05,K23106,LIWC
K23109,Adverbs,0.014546301,K23109,LIWC
K23115,Adverbs,0.022500799,K23115,LIWC
K23117,Adverbs,0.011447334,K23117,LIWC
K23120,Adverbs,0.000504573,K23120,LIWC
K23121,Adverbs,0.000546481,K23121,LIWC
K23125,Adverbs,0.000115897,K23125,LIWC
K23126,Adverbs,0.000181141,K23126,LIWC
K23128,Adverbs,0.001205876,K23128,LIWC
K23129,Adverbs,0.001081585,K23129,LIWC
K23130,Adverbs,6.28E-07,K23130,LIWC
K23133,Adverbs,0,K23133,LIWC
K23134,Adverbs,5.20E-05,K23134,LIWC
K23136,Adverbs,0.000430458,K23136,LIWC
K23144,Adverbs,0.00098511,K23144,LIWC
K23145,Adverbs,0.000395785,K23145,LIWC
K23147,Adverbs,0,K23147,LIWC
K23148,Adverbs,0.001781438,K23148,LIWC
K23150,Adverbs,1.02E-05,K23150,LIWC
K23153,Adverbs,0.003243765,K23153,LIWC
K23503,Adverbs,0.003426461,K23503,LIWC
K23509,Adverbs,0.009619497,K23509,LIWC
K23510,Adverbs,0.000802521,K23510,LIWC
K23517,Adverbs,0.016751571,K23517,LIWC
K23521,Adverbs,0.001913883,K23521,LIWC
K23526,Adverbs,0.007371305,K23526,LIWC
K23529,Adverbs,0.001118287,K23529,LIWC
K23531,Adverbs,0.001343485,K23531,LIWC
K23532,Adverbs,0.003966223,K23532,LIWC
K23533,Adverbs,0.001733608,K23533,LIWC
K23536,Adverbs,0.00463,K23536,LIWC
K23537,Adverbs,0.014820696,K23537,LIWC
K23540,Adverbs,0.020830163,K23540,LIWC
K23541,Adverbs,0.005174546,K23541,LIWC
K23548,Adverbs,0.002877359,K23548,LIWC
K23551,Adverbs,0.003229413,K23551,LIWC
K23552,Adverbs,0.002781888,K23552,LIWC
K23555,Adverbs,0.015411372,K23555,LIWC
K23556,Adverbs,0,K23556,LIWC
K23557,Adverbs,0.000105236,K23557,LIWC
K23559,Adverbs,0.000920611,K23559,LIWC
K23563,Adverbs,0,K23563,LIWC
K23565,Adverbs,0.001895655,K23565,LIWC
KTFG534,Adverbs,6.07E-05,KTFG534,LIWC
KTGF118,Adverbs,0.002860156,KTGF118,LIWC
KTGF120,Adverbs,0.000937694,KTGF120,LIWC
KTGF122,Adverbs,0.002273837,KTGF122,LIWC
KTGF124,Adverbs,3.18E-05,KTGF124,LIWC
KTGF125,Adverbs,0.000931003,KTGF125,LIWC
KTGF130,Adverbs,0.006775544,KTGF130,LIWC
KTGF142,Adverbs,0,KTGF142,LIWC
KTGF143,Adverbs,0.000214449,KTGF143,LIWC
KTGF146,Adverbs,0.000672306,KTGF146,LIWC
KTGF147,Adverbs,0.009990303,KTGF147,LIWC
KTGF148,Adverbs,0.001717679,KTGF148,LIWC
KTGF153,Adverbs,0.000585405,KTGF153,LIWC
KTGF154,Adverbs,0.002866782,KTGF154,LIWC
KTGF156,Adverbs,0.001855385,KTGF156,LIWC
KTGF157,Adverbs,0.024885925,KTGF157,LIWC
KTGF158,Adverbs,0,KTGF158,LIWC
KTGF527,Adverbs,4.24E-05,KTGF527,LIWC
KTGF528,Adverbs,0,KTGF528,LIWC
KTGF533,Adverbs,0.010702568,KTGF533,LIWC
KTGF540,Adverbs,0.013928342,KTGF540,LIWC
KTGF544,Adverbs,0.006216618,KTGF544,LIWC
KTGF545,Adverbs,0.008798001,KTGF545,LIWC
KTGF549,Adverbs,0,KTGF549,LIWC
KTGF550,Adverbs,0.001595042,KTGF550,LIWC
KTGF553,Adverbs,0.00019758,KTGF553,LIWC
KTGF556,Adverbs,0.000364775,KTGF556,LIWC
KTGF557,Adverbs,4.48E-05,KTGF557,LIWC
KTGF561,Adverbs,0.001125609,KTGF561,LIWC
KTGF562,Adverbs,0.000205398,KTGF562,LIWC
KTGF565,Adverbs,0,KTGF565,LIWC
K23101,Affect,0.000662093,K23101,LIWC
K23106,Affect,5.88E-05,K23106,LIWC
K23107,Affect,0,K23107,LIWC
K23109,Affect,0.009992932,K23109,LIWC
K23114,Affect,0.001892754,K23114,LIWC
K23115,Affect,0,K23115,LIWC
K23117,Affect,0.007855846,K23117,LIWC
K23121,Affect,0.000184987,K23121,LIWC
K23122,Affect,0.002964049,K23122,LIWC
K23125,Affect,0.000658643,K23125,LIWC
K23126,Affect,0.004637554,K23126,LIWC
K23128,Affect,0,K23128,LIWC
K23129,Affect,0.001181779,K23129,LIWC
K23130,Affect,0,K23130,LIWC
K23131,Affect,0.000743693,K23131,LIWC
K23133,Affect,0,K23133,LIWC
K23134,Affect,0,K23134,LIWC
K23136,Affect,8.12E-05,K23136,LIWC
K23143,Affect,0.000384945,K23143,LIWC
K23144,Affect,0.002457435,K23144,LIWC
K23145,Affect,0.000234037,K23145,LIWC
K23147,Affect,0,K23147,LIWC
K23148,Affect,0.000866879,K23148,LIWC
K23150,Affect,0.002261192,K23150,LIWC
K23153,Affect,0,K23153,LIWC
K23156,Affect,0.00114582,K23156,LIWC
K23502,Affect,0.000174735,K23502,LIWC
K23503,Affect,0,K23503,LIWC
K23507,Affect,0.053013443,K23507,LIWC
K23508,Affect,0,K23508,LIWC
K23509,Affect,0.025439243,K23509,LIWC
K23510,Affect,0,K23510,LIWC
K23517,Affect,0.020309222,K23517,LIWC
K23521,Affect,0.029600261,K23521,LIWC
K23526,Affect,0.002757191,K23526,LIWC
K23529,Affect,6.68E-05,K23529,LIWC
K23531,Affect,0,K23531,LIWC
K23532,Affect,0,K23532,LIWC
K23533,Affect,0.00308763,K23533,LIWC
K23536,Affect,0,K23536,LIWC
K23537,Affect,0.019159871,K23537,LIWC
K23540,Affect,0,K23540,LIWC
K23541,Affect,0.000858346,K23541,LIWC
K23548,Affect,0.000644764,K23548,LIWC
K23551,Affect,0.000721212,K23551,LIWC
K23552,Affect,0.00203272,K23552,LIWC
K23555,Affect,0.003094842,K23555,LIWC
K23556,Affect,0,K23556,LIWC
K23557,Affect,0,K23557,LIWC
K23559,Affect,0.001689282,K23559,LIWC
K23563,Affect,0,K23563,LIWC
K23565,Affect,0.000665067,K23565,LIWC
KTFG534,Affect,0.000416705,KTFG534,LIWC
KTGF118,Affect,0.000549149,KTGF118,LIWC
KTGF120,Affect,0.000245283,KTGF120,LIWC
KTGF122,Affect,8.91E-08,KTGF122,LIWC
KTGF124,Affect,0.001768433,KTGF124,LIWC
KTGF125,Affect,0.000737228,KTGF125,LIWC
KTGF130,Affect,0.004094229,KTGF130,LIWC
KTGF136,Affect,0.000198084,KTGF136,LIWC
KTGF142,Affect,0,KTGF142,LIWC
KTGF143,Affect,0.00392757,KTGF143,LIWC
KTGF146,Affect,0,KTGF146,LIWC
KTGF147,Affect,0.002882445,KTGF147,LIWC
KTGF148,Affect,0.004983206,KTGF148,LIWC
KTGF153,Affect,0.003016238,KTGF153,LIWC
KTGF154,Affect,0.009895774,KTGF154,LIWC
KTGF156,Affect,0.00705453,KTGF156,LIWC
KTGF157,Affect,0.000242687,KTGF157,LIWC
KTGF158,Affect,0,KTGF158,LIWC
KTGF527,Affect,0,KTGF527,LIWC
KTGF528,Affect,0,KTGF528,LIWC
KTGF533,Affect,0.000311872,KTGF533,LIWC
KTGF540,Affect,0,KTGF540,LIWC
KTGF544,Affect,0.00106241,KTGF544,LIWC
KTGF545,Affect,0,KTGF545,LIWC
KTGF549,Affect,0.000984271,KTGF549,LIWC
KTGF550,Affect,0,KTGF550,LIWC
KTGF553,Affect,0.026959644,KTGF553,LIWC
KTGF556,Affect,0,KTGF556,LIWC
KTGF557,Affect,0.000603316,KTGF557,LIWC
KTGF561,Affect,0.019528086,KTGF561,LIWC
KTGF562,Affect,0.00129533,KTGF562,LIWC
KTGF565,Affect,0,KTGF565,LIWC
KTGF570,Affect,0.002648479,KTGF570,LIWC
KTGF572,Affect,0.001710708,KTGF572,LIWC
K23101,Affiliation,0.011734377,K23101,LIWC
K23106,Affiliation,0,K23106,LIWC
K23109,Affiliation,0.002032279,K23109,LIWC
K23114,Affiliation,0,K23114,LIWC
K23115,Affiliation,0.001564424,K23115,LIWC
K23117,Affiliation,0.006693571,K23117,LIWC
K23120,Affiliation,0.005622237,K23120,LIWC
K23121,Affiliation,1.38E-05,K23121,LIWC
K23122,Affiliation,0.003712393,K23122,LIWC
K23125,Affiliation,0.000380965,K23125,LIWC
K23126,Affiliation,0.000101235,K23126,LIWC
K23128,Affiliation,0.002274735,K23128,LIWC
K23129,Affiliation,0.000102553,K23129,LIWC
K23130,Affiliation,0,K23130,LIWC
K23133,Affiliation,0.008102011,K23133,LIWC
K23134,Affiliation,3.72E-07,K23134,LIWC
K23136,Affiliation,0,K23136,LIWC
K23142,Affiliation,0.000200598,K23142,LIWC
K23144,Affiliation,0.000196156,K23144,LIWC
K23145,Affiliation,0.010664211,K23145,LIWC
K23147,Affiliation,0,K23147,LIWC
K23148,Affiliation,0.000379887,K23148,LIWC
K23150,Affiliation,0.001090615,K23150,LIWC
K23153,Affiliation,0.003089482,K23153,LIWC
K23503,Affiliation,0.000102228,K23503,LIWC
K23508,Affiliation,0.013413207,K23508,LIWC
K23509,Affiliation,1.32E-05,K23509,LIWC
K23510,Affiliation,0.000367507,K23510,LIWC
K23517,Affiliation,0.022722115,K23517,LIWC
K23521,Affiliation,1.50E-05,K23521,LIWC
K23526,Affiliation,0.005174883,K23526,LIWC
K23529,Affiliation,0.002004343,K23529,LIWC
K23531,Affiliation,0,K23531,LIWC
K23532,Affiliation,0,K23532,LIWC
K23533,Affiliation,0.008193832,K23533,LIWC
K23536,Affiliation,0.001056009,K23536,LIWC
K23537,Affiliation,0.00301927,K23537,LIWC
K23540,Affiliation,3.15E-06,K23540,LIWC
K23541,Affiliation,0.001018867,K23541,LIWC
K23548,Affiliation,0.0069042,K23548,LIWC
K23551,Affiliation,0.001009522,K23551,LIWC
K23552,Affiliation,0,K23552,LIWC
K23555,Affiliation,0.001187377,K23555,LIWC
K23556,Affiliation,0.003373059,K23556,LIWC
K23557,Affiliation,0.002232049,K23557,LIWC
K23559,Affiliation,0.000708219,K23559,LIWC
K23563,Affiliation,0,K23563,LIWC
K23565,Affiliation,0.000113968,K23565,LIWC
KTFG534,Affiliation,0.013868867,KTFG534,LIWC
KTGF118,Affiliation,0.000337001,KTGF118,LIWC
KTGF120,Affiliation,0,KTGF120,LIWC
KTGF122,Affiliation,0.002085131,KTGF122,LIWC
KTGF124,Affiliation,4.33E-05,KTGF124,LIWC
KTGF125,Affiliation,8.03E-05,KTGF125,LIWC
KTGF136,Affiliation,0.005495526,KTGF136,LIWC
KTGF142,Affiliation,0.001730757,KTGF142,LIWC
KTGF143,Affiliation,0,KTGF143,LIWC
KTGF146,Affiliation,0.000446264,KTGF146,LIWC
KTGF147,Affiliation,0.003854307,KTGF147,LIWC
KTGF148,Affiliation,0.000519904,KTGF148,LIWC
KTGF153,Affiliation,0.004322901,KTGF153,LIWC
KTGF154,Affiliation,0.006409597,KTGF154,LIWC
KTGF156,Affiliation,0.00028589,KTGF156,LIWC
KTGF158,Affiliation,0.00146174,KTGF158,LIWC
KTGF527,Affiliation,0.00194758,KTGF527,LIWC
KTGF528,Affiliation,0,KTGF528,LIWC
KTGF533,Affiliation,0.013420505,KTGF533,LIWC
KTGF540,Affiliation,0,KTGF540,LIWC
KTGF544,Affiliation,0.011751606,KTGF544,LIWC
KTGF549,Affiliation,0,KTGF549,LIWC
KTGF550,Affiliation,0.006329384,KTGF550,LIWC
KTGF556,Affiliation,3.43E-07,KTGF556,LIWC
KTGF557,Affiliation,7.21E-05,KTGF557,LIWC
KTGF561,Affiliation,0.076976327,KTGF561,LIWC
KTGF562,Affiliation,0.005310877,KTGF562,LIWC
KTGF565,Affiliation,0,KTGF565,LIWC
KTGF572,Affiliation,6.42E-05,KTGF572,LIWC
K23104,allnone,0.001481592,K23104,LIWC
K23106,allnone,0,K23106,LIWC
K23114,allnone,0.017359287,K23114,LIWC
K23122,allnone,0.001351636,K23122,LIWC
K23125,allnone,0.000560967,K23125,LIWC
K23130,allnone,3.91E-08,K23130,LIWC
K23134,allnone,0.001564966,K23134,LIWC
K23142,allnone,0.032016158,K23142,LIWC
K23153,allnone,0.007993399,K23153,LIWC
K23502,allnone,0.003760394,K23502,LIWC
K23510,allnone,0.00061782,K23510,LIWC
K23517,allnone,0.004625109,K23517,LIWC
K23536,allnone,0.000225728,K23536,LIWC
K23537,allnone,0.00049967,K23537,LIWC
K23540,allnone,0,K23540,LIWC
K23541,allnone,0,K23541,LIWC
K23548,allnone,0.001764315,K23548,LIWC
K23551,allnone,0.000379574,K23551,LIWC
K23557,allnone,0.002898135,K23557,LIWC
K23563,allnone,0,K23563,LIWC
KTFG534,allnone,0.007841924,KTFG534,LIWC
KTGF125,allnone,0.000858124,KTGF125,LIWC
KTGF126,allnone,0.051972307,KTGF126,LIWC
KTGF129,allnone,0.005450042,KTGF129,LIWC
KTGF130,allnone,0.000540665,KTGF130,LIWC
KTGF142,allnone,0,KTGF142,LIWC
KTGF146,allnone,0,KTGF146,LIWC
KTGF527,allnone,0.000435266,KTGF527,LIWC
KTGF528,allnone,0,KTGF528,LIWC
K23101,AllPunc,0.001148433,K23101,LIWC
K23115,AllPunc,0.002175777,K23115,LIWC
K23121,AllPunc,0.002556941,K23121,LIWC
K23122,AllPunc,0,K23122,LIWC
K23125,AllPunc,0.001206666,K23125,LIWC
K23126,AllPunc,0.006711698,K23126,LIWC
K23128,AllPunc,0.005192689,K23128,LIWC
K23129,AllPunc,0.000449951,K23129,LIWC
K23133,AllPunc,0.007046598,K23133,LIWC
K23134,AllPunc,0,K23134,LIWC
K23136,AllPunc,0,K23136,LIWC
K23144,AllPunc,0.010825778,K23144,LIWC
K23145,AllPunc,0.004485533,K23145,LIWC
K23147,AllPunc,0,K23147,LIWC
K23148,AllPunc,0.000323706,K23148,LIWC
K23503,AllPunc,0.000489354,K23503,LIWC
K23509,AllPunc,0.036904345,K23509,LIWC
K23510,AllPunc,0.002604253,K23510,LIWC
K23517,AllPunc,0.005314747,K23517,LIWC
K23521,AllPunc,0,K23521,LIWC
K23526,AllPunc,0.002219841,K23526,LIWC
K23529,AllPunc,0.001766393,K23529,LIWC
K23532,AllPunc,0,K23532,LIWC
K23536,AllPunc,0.001612887,K23536,LIWC
K23537,AllPunc,0.018699612,K23537,LIWC
K23548,AllPunc,0.000248803,K23548,LIWC
K23551,AllPunc,0.004200377,K23551,LIWC
K23552,AllPunc,0.004558034,K23552,LIWC
K23555,AllPunc,0.011161594,K23555,LIWC
K23556,AllPunc,0.000200826,K23556,LIWC
K23557,AllPunc,0,K23557,LIWC
K23563,AllPunc,0.000236769,K23563,LIWC
KTFG534,AllPunc,0.004378095,KTFG534,LIWC
KTGF118,AllPunc,7.81E-05,KTGF118,LIWC
KTGF120,AllPunc,0,KTGF120,LIWC
KTGF122,AllPunc,0.000389881,KTGF122,LIWC
KTGF124,AllPunc,0.002125995,KTGF124,LIWC
KTGF125,AllPunc,0.002308707,KTGF125,LIWC
KTGF142,AllPunc,3.02E-05,KTGF142,LIWC
KTGF143,AllPunc,0.001219504,KTGF143,LIWC
KTGF146,AllPunc,9.75E-05,KTGF146,LIWC
KTGF147,AllPunc,0.000200643,KTGF147,LIWC
KTGF148,AllPunc,0.002204838,KTGF148,LIWC
KTGF156,AllPunc,0.001559346,KTGF156,LIWC
KTGF157,AllPunc,0.000216393,KTGF157,LIWC
KTGF158,AllPunc,0,KTGF158,LIWC
KTGF527,AllPunc,0.011826118,KTGF527,LIWC
KTGF528,AllPunc,0.010546328,KTGF528,LIWC
KTGF533,AllPunc,1.14E-05,KTGF533,LIWC
KTGF540,AllPunc,0,KTGF540,LIWC
KTGF544,AllPunc,3.83E-05,KTGF544,LIWC
KTGF545,AllPunc,0.003738749,KTGF545,LIWC
KTGF549,AllPunc,0.00079791,KTGF549,LIWC
KTGF553,AllPunc,2.88E-05,KTGF553,LIWC
KTGF556,AllPunc,0.001054264,KTGF556,LIWC
KTGF557,AllPunc,0.000263092,KTGF557,LIWC
KTGF561,AllPunc,0.021130654,KTGF561,LIWC
KTGF565,AllPunc,0.007278586,KTGF565,LIWC
KTGF572,AllPunc,0.001506127,KTGF572,LIWC
K23101,Allure,0.000215073,K23101,LIWC
K23104,Allure,0.000426786,K23104,LIWC
K23106,Allure,0.002427795,K23106,LIWC
K23107,Allure,0.002207508,K23107,LIWC
K23109,Allure,0.005528298,K23109,LIWC
K23115,Allure,0.001656661,K23115,LIWC
K23117,Allure,6.42E-05,K23117,LIWC
K23120,Allure,0.004632153,K23120,LIWC
K23121,Allure,0.000982798,K23121,LIWC
K23122,Allure,0,K23122,LIWC
K23125,Allure,0.00307626,K23125,LIWC
K23126,Allure,0.001013751,K23126,LIWC
K23128,Allure,0,K23128,LIWC
K23129,Allure,0.000113373,K23129,LIWC
K23130,Allure,0.001929185,K23130,LIWC
K23131,Allure,0.000101987,K23131,LIWC
